Disney+,Genres,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Runtime,Title,Year,_id
false,Drama,false,7.6,true,false,77,111,The Florida Project,2017,6163fd7662fe85987e167c13
false,Documentary,false,6.5,true,false,77,96,Behind the Curve,2018,6163fd7662fe85987e167c14
false,"Crime,Drama",false,7.3,true,false,77,116,Lawless,2012,6163fd7662fe85987e167c15
false,"Fantasy,Horror",false,6.4,true,false,77,98,Errementari: The Blacksmith and the Devil,2018,6163fd7662fe85987e167c16
false,"Documentary,Crime",false,7.2,true,false,77,95,Audrie & Daisy,2016,6163fd7662fe85987e167c17
false,"Action,Adventure,Thriller",false,6.6,true,false,77,106,Quantum of Solace,2008,6163fd7662fe85987e167c18
false,Drama,false,7.2,true,false,77,138,The Master,2012,6163fd7662fe85987e167c19
false,"Action,Crime,Drama,Thriller",false,7.3,true,false,77,105,Layer Cake,2004,6163fd7662fe85987e167c1a
false,"Comedy,Drama,Romance",false,7.7,true,false,77,90,Flipped,2010,6163fd7662fe85987e167c1b
false,Comedy,false,7.1,true,false,77,74,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,6163fd7662fe85987e167c1c
false,"Comedy,Romance",true,6.5,true,false,77,109,Friends with Benefits,2011,6163fd7662fe85987e167c1d
false,Documentary,false,7.4,true,false,77,95,Tig,2015,6163fd7662fe85987e167c1e
false,"Documentary,Crime",false,7.1,true,false,77,80,Roll Red Roll,2019,6163fd7662fe85987e167c1f
false,"Action,Adventure,Crime,Drama,Mystery",false,6.6,true,false,77,123,Enola Holmes,2020,6163fd7662fe85987e167c20
false,"Comedy,Drama,Musical,Sci-Fi",false,8.1,true,false,77,153,PK,2015,6163fd7662fe85987e167c21
false,"Crime,Drama,Thriller",false,7.4,true,false,77,102,Good Time,2017,6163fd7662fe85987e167c22
false,"Action,Crime,Drama,Romance,Thriller",false,7.3,true,false,77,133,The Next Three Days,2010,6163fd7662fe85987e167c23
false,Drama,false,8.2,true,false,77,132,Miracle in Cell No. 7,2019,6163fd7662fe85987e167c24
false,"Drama,Family",false,8.4,true,false,77,165,Like Stars on Earth,2007,6163fd7662fe85987e167c25
false,Documentary,false,7.3,true,false,77,91,Trixie Mattel: Moving Parts,2019,6163fd7662fe85987e167c26
false,"Crime,Drama,Mystery,Thriller",false,7.2,true,false,77,140,Talaash,2012,6163fd7662fe85987e167c27
false,Drama,false,7.1,true,false,77,94,Evelyn,2019,6163fd7662fe85987e167c28
false,Drama,false,7.6,true,false,77,132,I Am Sam,2001,6163fd7662fe85987e167c29
false,"Crime,Mystery,Sci-Fi,Thriller",false,6.2,true,false,77,115,In the Shadow of the Moon,2019,6163fd7662fe85987e167c2a
