Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
Hannah Gadsby: Nanette,2018,8.3,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Comedy"
Ali Wong: Hard Knock Wife,2018,7.4,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
Seven Pounds,2008,7.6,80,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Drama
Uncut Gems,2019,7.4,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Thriller"
The Kindergarten Teacher,2018,6.7,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Thriller"
Les Misérables,2012,7.6,80,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Drama,History,Musical,Romance,War"
The Sky Is Pink,2019,7.6,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Romance"
Next Gen,2018,6.6,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Action,Adventure,Comedy,Family,Sci-Fi"
Tom Segura: Disgraceful,2018,7.6,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Comedy"
My Happy Family,2017,7.4,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
The American Meme,2018,6.6,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Badla,2019,7.8,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller"
Okko's Inn,2018,7.1,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Drama,Family,Fantasy"
The Willoughbys,2020,6.4,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family"
Hunt for the Wilderpeople,2016,7.9,80,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Adventure,Comedy,Drama"
Stardust,2007,7.6,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Family,Fantasy,Romance"
Wheelman,2017,6.4,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Thriller"
The Artist,2011,7.9,79,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
On My Skin,2018,7.3,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama"
Gaga: Five Foot Two,2017,7,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Music"
Hugo,2011,7.5,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Family,Fantasy,Mystery"
The Impossible,2012,7.6,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,History,Thriller"
War Dogs,2016,7.1,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Comedy,Crime,Drama,War"
Ip Man,2008,8,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Biography,Drama,History"
The Speed Cubers,2020,7.4,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Short,Sport"
Kung Fu Panda 2,2011,7.2,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Action,Adventure,Comedy,Family,Fantasy"
The Dirt,2019,7,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Comedy,Drama,Music"
Andhadhun,2018,8.2,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Music,Mystery,Thriller"
Atlantics,2019,6.7,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Mystery,Romance"
37 Seconds,2019,7.3,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
El Camino: A Breaking Bad Movie,2019,7.3,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama"
Underworld,2003,7,79,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Action,Fantasy,Thriller"
The Ring,2002,7.1,79,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Horror,Mystery"
Hold the Dark,2018,5.6,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,Thriller"
The Karate Kid,1984,7.3,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,Family,Sport"
Quincy,2018,7.6,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller"
The Patriot,2000,7.2,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,History,War"
Get In,2019,5.6,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Horror,Thriller"
ZZ Top: That Little Ol' Band From Texas,2019,7.5,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,Music"
Jerry Before Seinfeld,2017,7,79,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
Mike Birbiglia: The New One,2019,7.7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
A Silent Voice: The Movie,2016,8.2,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Drama"
Klaus,2019,8.2,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family"
Snowden,2016,7.3,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Crime,Drama,Thriller"
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,7.7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
What's Eating Gilbert Grape,1993,7.7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
The Da Vinci Code,2006,6.6,78,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Mystery,Thriller"
Stranger Than Fiction,2006,7.5,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Fantasy,Romance"
Don 2,2011,7.1,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Thriller"
Elena,2013,7.6,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Thriller"
Real Steel,2011,7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,Sci-Fi,Sport"
The Founder,2017,7.2,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama"
Stargate,1994,7.1,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Drama,Sci-Fi"
Shirkers,2018,7.4,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Chef,2014,7.3,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Comedy,Drama"
Fire in the Blood,2013,7.7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,History"
Austin Powers: International Man of Mystery,1997,7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Comedy"
Miles Davis: Birth of the Cool,2019,7.4,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Biography
Insidious,2010,6.8,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Horror,Mystery,Thriller"
Screwball,2019,7.1,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
The Old Guard,2020,6.7,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Fantasy,Thriller"
Rango,2011,7.2,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Comedy,Family,Western"
Before I Wake,2016,6.2,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Fantasy,Horror,Thriller"
The Disaster Artist,2017,7.4,78,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Comedy,Drama"
Fruitvale Station,2013,7.5,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Crime,Drama,Romance"
The Florida Project,2017,7.6,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
Behind the Curve,2018,6.5,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Lawless,2012,7.3,77,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama"
