_id,Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
6165e0ee8a2fde8299a2d3ff,"Faith, Hope & Love",2019,6.2,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Romance"
6165e0ee8a2fde8299a2d401,Grass is Greener,2019,7.2,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d404,Ava,2020,5.4,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama,Thriller"
6165e0ee8a2fde8299a2d407,Go!,2020,5.9,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Crime"
6165e0ee8a2fde8299a2d40c,System Crasher,2019,7.8,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d410,The Wrong Missy,2020,5.7,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Romance"
6165e0ee8a2fde8299a2d416,Mosul,2020,7.2,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,War"
6165e0ee8a2fde8299a2d41d,An Easy Girl,2019,5.6,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
6165e0ee8a2fde8299a2d422,There's Something in the Water,2019,6.7,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d42f,"Frankenstein's Monster's Monster, Frankenstein",2019,5.9,69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
6165e0ee8a2fde8299a2d432,Disclosure,2020,8.2,69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Thriller"
6165e0ee8a2fde8299a2d43b,Project Power,2020,6,69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Sci-Fi,Thriller"
6165e0ee8a2fde8299a2d44b,Death to 2020,2020,6.8,69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
6165e0ee8a2fde8299a2d44d,The Great Hack,2019,7,69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,History"
6165e0ee8a2fde8299a2d455,If Anything Happens I Love You,2020,7.8,69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Short,Drama"
6165e0ee8a2fde8299a2d458,The Forest of Love,2019,6.3,69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Horror,Thriller"
6165e0ee8a2fde8299a2d461,The Silence of Others,2019,8,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d465,Rocks,2020,7.5,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d467,Giving Voice,2020,6.7,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d46e,Ne Zha,2019,7.5,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Action,Adventure,Family,Fantasy,Thriller"
6165e0ee8a2fde8299a2d471,Ludo,2020,7.6,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Comedy,Crime,Drama"
6165e0ee8a2fde8299a2d474,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,7.6,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,History,Music"
6165e0ee8a2fde8299a2d477,American Murder: The Family Next Door,2020,7.2,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Crime"
6165e0ee8a2fde8299a2d47c,After We Collided,2020,5.2,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Romance"
6165e0ee8a2fde8299a2d47f,To All the Boys: P.S. I Still Love You,2020,6,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
6165e0ee8a2fde8299a2d480,Malang,2020,6.5,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama,Romance,Thriller"
6165e0ee8a2fde8299a2d481,Someone Great,2019,6.2,68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Romance"
6165e0ee8a2fde8299a2d48d,All the Bright Places,2020,6.5,67,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Romance"
6165e0ee8a2fde8299a2d496,18 Presents,2020,6.7,67,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d49b,Athlete A,2020,7.6,67,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Crime,Sport"
