Genres,Hulu,IMDb,Rotten Tomatoes,Title,Year,_id
"Comedy,Drama",true,5.5,55,Hooking Up,2020,616528458a2fde8299a2bbae
"Adventure,Horror,Mystery,Thriller",true,5.4,55,Follow Me,2020,616528458a2fde8299a2bbb2
"Drama,Romance",true,5.7,54,The Tomorrow Man,2019,616528458a2fde8299a2bbb4
"Comedy,Drama,Fantasy",true,6.4,54,Premature,2020,616528458a2fde8299a2bbb6
"Action,Crime,Thriller",true,5.2,54,Into the Ashes,2019,616528458a2fde8299a2bbc3
Drama,true,6.6,54,This Is Not Berlin,2019,616528458a2fde8299a2bbc4
"Documentary,Biography,History",true,7.2,54,Meeting Gorbachev,2019,616528458a2fde8299a2bbcd
"Action,Crime,Drama,Thriller",true,5.3,54,We Die Young,2019,616528458a2fde8299a2bbce
"Action,Crime,Mystery,Thriller",true,4.4,54,Killers Anonymous,2019,616528458a2fde8299a2bbcf
"Documentary,Biography",true,7.7,54,Ask Dr. Ruth,2019,616528458a2fde8299a2bbd0
"Horror,Sci-Fi,Thriller",true,3.8,53,Intersect,2020,616528458a2fde8299a2bbd1
"Drama,Horror,Thriller",true,5.4,53,Depraved,2019,616528458a2fde8299a2bbd2
Drama,true,4.4,53,Mary,2019,616528458a2fde8299a2bbd4
Horror,true,4.9,53,Trick,2019,616528458a2fde8299a2bbd5
"Action,Comedy,Crime,Thriller",true,5.1,53,Lucky Day,2019,616528458a2fde8299a2bbda
"Drama,Romance,Sci-Fi,Thriller",true,4.8,53,Radioflash,2019,616528458a2fde8299a2bbdb
"Drama,Mystery,Thriller",true,5.5,53,Disappearance at Clifton Hill,2020,616528458a2fde8299a2bbdd
"Documentary,Biography",true,7.6,53,Margaret Atwood: A Word After a Word After a Word Is Power,2019,616528458a2fde8299a2bbde
"Crime,Drama,Thriller",true,5.1,53,The Big Ugly,2020,616528458a2fde8299a2bbdf
Drama,true,5.2,53,The Roads Not Taken,2020,616528458a2fde8299a2bbe0
"Drama,Romance",true,6.2,53,I Met a Girl,2020,616528458a2fde8299a2bbe1
"Biography,Drama,Music",true,6.8,53,Billie,2020,616528458a2fde8299a2bbe5
"Drama,Horror,Mystery",true,4.8,53,I Trapped the Devil,2019,616528458a2fde8299a2bbe7
Comedy,true,5.9,53,VHYes,2020,616528458a2fde8299a2bbea
Comedy,true,6.5,53,Mister America,2019,616528458a2fde8299a2bbee
"Crime,Drama,Romance,Thriller",true,4.2,52,Infamous,2020,616528458a2fde8299a2bbf1
"Drama,Music,Romance",true,6.9,52,Farewell Amor,2020,616528458a2fde8299a2bbf4
"Comedy,Drama,Family,Fantasy,Sci-Fi",true,6.3,52,Good Boy,2020,616528458a2fde8299a2bbf7
Drama,true,5.6,52,The Obituary of Tunde Johnson,2019,616528458a2fde8299a2bbf8
"Comedy,Drama,Sci-Fi",true,5.9,52,James vs. His Future Self,2019,616528458a2fde8299a2bbf9
Drama,true,5.5,52,The Mountain,2019,616528458a2fde8299a2bbfa
Drama,true,5.7,52,The Sound of Silence,2019,616528458a2fde8299a2bbfb
Documentary,true,7.5,52,Toni Morrison: The Pieces I Am,2019,616528458a2fde8299a2bc01
Horror,true,4.2,52,Behind You,2020,616528458a2fde8299a2bc06
"Drama,Sport",true,6,52,Run the Race,2019,616528458a2fde8299a2bc08
"Horror,Thriller",true,5,51,Trespassers,2019,616528458a2fde8299a2bc0b
Documentary,true,8.1,51,Raise Hell: The Life & Times of Molly Ivins,2019,616528458a2fde8299a2bc0e
"Documentary,Comedy,Horror,Mystery",true,4.8,51,Wrinkles the Clown,2019,616528458a2fde8299a2bc11
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",true,6,51,Pooka Lives!,2020,616528458a2fde8299a2bc14
"Comedy,Romance",true,5.5,51,A Guide to Second Date Sex,2019,616528458a2fde8299a2bc15
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",true,5.7,51,Uncanny Annie,2019,616528458a2fde8299a2bc17
Comedy,true,6.2,51,The Brink,2019,616528458a2fde8299a2bc1a
"Crime,Drama",true,6.2,51,Ms. Purple,2019,616528458a2fde8299a2bc1d
"Biography,Comedy,Drama,Family,Romance",true,6.6,51,Red Dog,2019,616528458a2fde8299a2bc1f
Horror,true,5.5,51,Crawlers,2020,616528458a2fde8299a2bc25
"Horror,Mystery,Thriller",true,4.8,50,Body at Brighton Rock,2019,616528458a2fde8299a2bc27
"Comedy,Fantasy,Romance",true,5.6,50,A Christmas Movie Christmas,2019,616528458a2fde8299a2bc2f
"Action,Crime,Drama,Thriller",true,5.4,50,The Flood,2019,616528458a2fde8299a2bc31
"Documentary,History",true,6.3,50,The Rape of Recy Taylor,2019,616528458a2fde8299a2bc34
"Comedy,Drama,Romance",true,4.4,50,Good Kisser,2019,616528458a2fde8299a2bc35
"Drama,Romance",true,6.1,50,The Sunlit Night,2020,616528458a2fde8299a2bc38
"Drama,Mystery,Thriller",true,5.1,50,Knives and Skin,2019,616528458a2fde8299a2bc39
"Documentary,Drama",true,6.6,49,Madonna and the Breakfast Club,2019,616528458a2fde8299a2bc43
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",true,5.3,49,The Current Occupant,2020,616528458a2fde8299a2bc48
"Comedy,Drama,Romance",true,4.3,49,Bad Therapy,2020,616528458a2fde8299a2bc49
"Drama,Western",true,4.8,49,Savage State,2020,616528458a2fde8299a2bc4e
Documentary,true,6.9,48,Slay the Dragon,2019,616528458a2fde8299a2bc55
"Drama,Sci-Fi,Thriller",true,3.7,48,After Darkness,2019,616528458a2fde8299a2bc56
"Action,Horror,Sci-Fi",true,4.3,48,Stairs,2020,616528458a2fde8299a2bc57
"Action,Drama",true,5.5,48,Rag Doll,2020,616528458a2fde8299a2bc58
Comedy,true,5.1,48,Supervized,2019,616528458a2fde8299a2bc59
"Drama,Sci-Fi,Thriller",true,3.7,48,The Dustwalker,2020,616528458a2fde8299a2bc5a
Comedy,true,5.5,48,The Turkey Bowl,2019,616528458a2fde8299a2bc5b
"Crime,Drama,Romance",true,5.3,48,Dirt Music,2019,616528458a2fde8299a2bc5d
Documentary,true,7.1,47,Hurley,2019,616528458a2fde8299a2bc67
Documentary,true,5.4,47,The State of Texas vs. Melissa,2020,616528458a2fde8299a2bc6b
"Family,Sport",true,5.5,47,Swimming for Gold,2020,616528458a2fde8299a2bc6d
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",true,5.5,47,"Into the Dark: I'm Just F*cking With You",2019,616528458a2fde8299a2bc73
Sci-Fi,true,3.8,47,The Complex: Lockdown,2020,616528458a2fde8299a2bc78
"Documentary,Sport",true,7,47,The Standard,2020,616528458a2fde8299a2bc79
Drama,true,5,46,Pretenders,2019,616528458a2fde8299a2bc7c
"Crime,Thriller",true,5.3,46,Delivered,2020,616528458a2fde8299a2bc7d
Thriller,true,5.5,46,Rattlesnakes,2019,616528458a2fde8299a2bc7f
"Action,Comedy",true,6.4,46,"The Legend of Baron To'a",2020,616528458a2fde8299a2bc80
"Horror,Mystery,Thriller",true,5.2,46,Awoken,2020,616528458a2fde8299a2bc85
"Action,Drama,Thriller",true,3.3,46,General Commander,2019,616528458a2fde8299a2bc86
"Action,Adventure,Drama,Fantasy,War",true,4.2,46,The Warrior Queen of Jhansi,2019,616528458a2fde8299a2bc87
Documentary,true,6.3,46,Autonomy,2019,616528458a2fde8299a2bc89
"Documentary,Music",true,6.8,46,The Quiet One,2019,616528458a2fde8299a2bc8a
"Comedy,Romance",true,5.1,46,Modern Persuasion,2020,616528458a2fde8299a2bc8c
Action,true,4.6,45,Ip Man: Kung Fu Master,2019,616528458a2fde8299a2bc8e
"Action,Sci-Fi",true,3.7,45,2099: The Soldier Protocol,2019,616528458a2fde8299a2bc91
"Documentary,Biography,Music",true,6.5,45,Cunningham,2019,616528458a2fde8299a2bc92
Romance,true,4.5,45,My Valentine,2020,616528458a2fde8299a2bc93
Fantasy,true,5.3,45,The Place of No Words,2019,616528458a2fde8299a2bc95
"Animation,Adventure,Family,Fantasy",true,4.7,45,Bayala: A Magical Adventure,2019,616528458a2fde8299a2bc96
"Documentary,Drama,Sport",true,5.5,44,Changing the Game,2019,616528458a2fde8299a2bc9c
"Comedy,Drama",true,5.8,44,Avenues,2019,616528458a2fde8299a2bc9d
Documentary,true,7.1,44,Who Let the Dogs Out,2019,616528458a2fde8299a2bc9e
Comedy,true,3.6,44,1 Night In San Diego,2020,616528458a2fde8299a2bca1
Comedy,true,2.9,44,The Swing of Things,2020,616528458a2fde8299a2bca3
History,true,7.8,44,The Story of Soaps,2020,616528458a2fde8299a2bca4
"Family,Musical",true,3.7,44,"Dr. Seuss' The Grinch Musical",2020,616528458a2fde8299a2bca6
Horror,true,4.7,44,Midnight Kiss,2019,616528458a2fde8299a2bca8
Comedy,true,4.4,44,How to Fake a War,2020,616528458a2fde8299a2bcaa
