Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year
"Comedy,Romance",4.1,true,42,Whipped,2020
Drama,6.5,true,42,Chippa,2020
"Comedy,Drama",6.2,true,42,Crazy Awesome Teachers,2020
Comedy,5.6,true,42,"George Lopez: We'll Do It for Half",2020
"Animation,Action,Adventure,Comedy,Family",7.4,true,42,Octonauts and the Great Barrier Reef,2020
Comedy,6.6,true,42,"Jack Whitehall: I'm Only Joking",2020
Thriller,6.6,true,42,Voiceless,2020
"Animation,Family",5.8,true,42,Dragons: Rescue Riders: Huttsgalor Holiday,2020
Drama,6.8,true,42,100% Halal,2020
"Animation,Short,Action,Adventure,Comedy,Drama,Family,Mystery,Western",5.8,true,42,Spirit Riding Free: Ride Along Adventure,2020
Drama,5.8,true,41,Generasi 90an: Melankolia,2020
Documentary,6.6,true,41,Dark City Beneath the Beat,2020
,5.9,true,41,David Batra: Elephant in The Room,2020
"Comedy,Romance",4.7,true,41,Maniyarayile Ashokan,2020
"Action,Comedy,Romance",4,true,41,All Because of You,2020
"Adventure,Drama",6.1,true,41,"Blue, Painful, and Brittle",2020
"Animation,Short,Family,Horror",6.1,true,41,A Go Go Cory Carson Halloween,2020
,,true,41,PNL - Dans la légende tour,2020
Drama,5.4,true,41,Rattlesnake: The Ahanna Story,2020
Family,4.8,true,41,Full Out 2: You Got This!,2020
Thriller,5,true,41,Furtive,2020
"Documentary,Music",6.8,true,41,GIMS: On the Record,2020
"Documentary,History",3.7,true,40,Berlin Berlin,2020
"Animation,Short,Action,Adventure,Comedy,Family",6.3,true,40,Captain Underpants: Epic Choice-o-rama,2020
Comedy,4.1,true,40,"Sí, Mi Amor",2020
"Animation,Adventure,Comedy,Family,Sci-Fi",6,true,40,The Magic School Bus Rides Again: Kids in Space,2020
,,true,40,Reframe THEATER EXPERIENCE with you,2020
Music,,true,40,Perfume Imaginary Museum “Time Warp”,2020
Drama,6.3,true,40,This Lady Called Life,2020
Comedy,6.5,true,40,Mauricio Meirelles: Generating Chaos,2020
"Animation,Comedy,Family",7.3,true,40,Fukrey Boyzzz: Space Mein Fukrapanti,2020
,6.7,true,40,"The End of Doel's Love Story",2020
Drama,6.6,true,40,Ainu Mosir,2020
"Animation,Short,Action,Adventure,Comedy,Family",5.4,true,40,Captain Underpants: Mega Blissmas,2020
"Animation,Short,Family",6.8,true,39,Go! Go! Cory Carson: The Chrissy,2020
"Animation,Adventure,Comedy,Family",5.8,true,39,The Magic School Bus Rides Again in the Zone,2020
"Adventure,Comedy,Family,Fantasy,Sci-Fi",4.3,true,39,Aliens Stole My Body,2020
Comedy,3.6,true,39,The App That Stole Christmas,2020
Drama,,true,39,Mama Drama,2020
Comedy,5.3,true,39,Jo Koy: In His Elements,2020
Family,4.4,true,39,Hope Ranch,2020
Comedy,7,true,39,Fate of Alakada,2020
"Drama,Horror,Mystery,Thriller",3.4,true,39,Kaali Khuhi,2020
Drama,6,true,39,Any Crybabies Around?,2020
Comedy,6.1,true,39,Alex Fernández: The Best Comedian in the World,2020
