Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Horror, Mystery",7.9,true,,El inocente,2021,6165e0ef8a2fde8299a2f8ca
"Crime, Drama, Thriller",8,true,,Turning Point: 9/11 and the War on Terror,2021,6165e0ef8a2fde8299a2f8cc
Crime,6.9,true,,Fate: The Winx Saga,2021,6165e0ef8a2fde8299a2f8d3
Drama,6.7,true,,"Jupiter's Legacy",2021,6165e0ef8a2fde8299a2f8da
"Crime, Drama, Mystery, Thriller",8.6,true,,Young Royals,2021,6165e0ef8a2fde8299a2f8de
Comedy,7,true,,Katla,2021,6165e0ef8a2fde8299a2f8e3
Comedy,5.1,true,,Masters of the Universe: Revelation,2021,6165e0ef8a2fde8299a2f8e4
"Comedy, Drama, History",6.3,true,,Luna Park,2021,6165e0ef8a2fde8299a2f8e9
"Crime, Drama",7.4,true,,La cocinera de Castamar,2021,6165e0ef8a2fde8299a2f8ef
"Drama, Fantasy, Mystery, Sci-Fi, Thriller",8.6,true,,Move to Heaven,2021,6165e0ef8a2fde8299a2f8f4
"Crime, Drama, History, Thriller",6,true,,The Irregulars,2021,6165e0ef8a2fde8299a2f8f6
Drama,6.2,true,,Disparu � jamais,2021,6165e0ef8a2fde8299a2f8fb
Drama,7.4,true,,Firefly Lane,2021,6165e0ef8a2fde8299a2f902
"Comedy, Drama, Romance",7.1,true,,Post Mortem: No One Dies in Skarnes,2021,6165e0ef8a2fde8299a2f90b
"Drama, History, War",6.2,true,,Dive Club,2021,6165e0ef8a2fde8299a2f911
"Drama, Romance",6.6,true,,Jailbirds New Orleans,2021,6165e0ef8a2fde8299a2f916
"Comedy, Drama",7.5,true,,"Ada Twist, Scientist",2021,6165e0ef8a2fde8299a2f918
"Documentary, Reality-TV",8.1,true,,Countdown: Inspiration4 Mission to Space,2021,6165e0ef8a2fde8299a2f919
