Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
"Comedy,Crime,Drama,Music",6.4,true,65,Beats,2019,616528458a2fde8299a2adad
"Drama,Mystery,Thriller",6.1,true,65,Lost Girls,2020,616528458a2fde8299a2adae
"Action,Adventure,Crime,Drama,Sci-Fi,Thriller",5.2,true,65,See You Yesterday,2019,616528458a2fde8299a2adb5
"Short,Drama,Sci-Fi",6.9,true,65,Two Distant Strangers,2020,616528458a2fde8299a2adb9
"Comedy,Drama",6.1,true,65,"Yes, God, Yes",2019,616528458a2fde8299a2adbd
"Action,Biography,Drama,War",5.3,true,65,Gunjan Saxena: The Kargil Girl,2020,616528458a2fde8299a2adc1
Documentary,7.7,true,65,Last Breath,2019,616528458a2fde8299a2adc5
Comedy,6.1,true,65,Otherhood,2019,616528458a2fde8299a2adcc
"Comedy,Family,Fantasy",5.4,true,64,"A Babysitter's Guide to Monster Hunting",2020,616528458a2fde8299a2add1
Documentary,7.8,true,64,Fantastic Fungi,2019,616528458a2fde8299a2add2
Documentary,6.8,true,64,David Foster: Off the Record,2019,616528458a2fde8299a2add9
"Adventure,Comedy,Family,Fantasy",6,true,64,The Christmas Chronicles: Part Two,2020,616528458a2fde8299a2addc
Drama,6.8,true,64,The Boys in the Band,2020,616528458a2fde8299a2adea
"Crime,Drama",7.6,true,64,A Sun,2019,616528458a2fde8299a2adee
"Comedy,Drama",7.2,true,64,The Forty-Year-Old Version,2020,616528458a2fde8299a2adf2
"Drama,Horror,Mystery,Thriller",5.7,true,64,Eli,2019,616528458a2fde8299a2adf3
Drama,5.8,true,64,American Son,2019,616528458a2fde8299a2adf8
"Crime,Horror,Mystery,Sci-Fi,Thriller",7.1,true,64,The Call,2020,616528458a2fde8299a2adf9
"Documentary,Drama",7.5,true,64,Dick Johnson Is Dead,2020,616528458a2fde8299a2adfb
Comedy,7.4,true,64,Taylor Tomlinson: Quarter-Life Crisis,2020,616528458a2fde8299a2ae02
Drama,5.8,true,64,All Day and a Night,2020,616528458a2fde8299a2ae03
"Crime,Drama,Thriller",5.9,true,64,Rust Creek,2019,616528458a2fde8299a2ae0b
"Comedy,Drama,Music",7,true,64,Fisherman’s Friends,2019,616528458a2fde8299a2ae0f
"Action,Crime",6.6,true,64,Avengement,2019,616528458a2fde8299a2ae10
"Crime,Drama",5.4,true,64,Lying and Stealing,2019,616528458a2fde8299a2ae1b
Drama,5.3,true,64,Who Would You Take to a Deserted Island?,2019,616528458a2fde8299a2ae1c
"Horror,Mystery,Thriller",7.8,true,63,Andhaghaaram,2020,616528458a2fde8299a2ae21
